,boardNumber,Precinct,Email,Zip,Nodes,Sheet,District,Name,Borough,Party,Sheet_Index,Label
66,2.0,['108'],qn02@cb.nyc.govv,11377.0,66,Queens Board,,,,,1.0,Queens Board 2
67,3.0,['115'],communityboard3@nyc.rr.com,11372.0,67,Queens Board,,,,,2.0,Queens Board 3
68,4.0,['110'],QN04@cb.nyc.gov,11368.0,68,Queens Board,,,,,3.0,Queens Board 4
69,5.0,['104'],qn05@cb.nyc.gov,11385.0,69,Queens Board,,,,,4.0,Queens Board 5
70,6.0,['112'],qn06@cb.nyc.gov,11377.0,70,Queens Board,,,,,5.0,Queens Board 6
71,7.0,['109'],qn07@cb.nyc.gov,11355.0,71,Queens Board,,,,,6.0,Queens Board 7
72,8.0,['107'],qn08@cb.nyc.gov,11423.0,72,Queens Board,,,,,7.0,Queens Board 8
73,9.0,['102'],communitybd9@nyc.rr.com,11424.0,73,Queens Board,,,,,8.0,Queens Board 9
74,10.0,['106'],cb10qns@nyc.rr.com,11420.0,74,Queens Board,,,,,9.0,Queens Board 10
75,11.0,['111'],cb11q@nyc.rr.com,11362.0,75,Queens Board,,,,,10.0,Queens Board 11
76,12.0,['103'],qn12@cb.nyc.gov,11432.0,76,Queens Board,,,,,11.0,Queens Board 12
77,13.0,['105'],mmcmillan@qcb13.org,11428.0,77,Queens Board,,,,,12.0,Queens Board 13
78,14.0,['100'],mmcmillan@qcb13.org,11691.0,78,Queens Board,,,,,13.0,Queens Board 14
79,1.0,,bk01@cb.nyc.gov,11211.0,79,Brooklyn Board,34.0,,,,0.0,Brooklyn Board 1
80,2.0,,cb2k@nyc.rr.com,11201.0,80,Brooklyn Board,33.0,,,,1.0,Brooklyn Board 2
81,3.0,,bk03@cb.nyc.gov,11216.0,81,Brooklyn Board,36.0,,,,2.0,Brooklyn Board 3
82,4.0,,BK04@cb.nyc.gov,11207.0,82,Brooklyn Board,37.0,,,,3.0,Brooklyn Board 4
83,5.0,,bk05@cb.ny.gov,11208.0,83,Brooklyn Board,42.0,,,,4.0,Brooklyn Board 5
84,6.0,,info@Brooklyn.CB6.org,11201.0,84,Brooklyn Board,39.0,,,,5.0,Brooklyn Board 6
85,7.0,,bk07@cb.nyc.gov,11232.0,85,Brooklyn Board,38.0,,,,6.0,Brooklyn Board 7
86,8.0,,info@brooklyncb8.org,11213.0,86,Brooklyn Board,36.0,,,,7.0,Brooklyn Board 8
87,9.0,,bk09@cb.nyc.gov,11225.0,87,Brooklyn Board,35.0,,,,8.0,Brooklyn Board 9
88,10.0,,bk10@cb.nyc.gov,11209.0,88,Brooklyn Board,43.0,,,,9.0,Brooklyn Board 10
89,11.0,,bk11@cb.nyc.gov,11214.0,89,Brooklyn Board,47.0,,,,10.0,Brooklyn Board 11
90,12.0,,bk12@cb.nyc.gov,11219.0,90,Brooklyn Board,44.0,,,,11.0,Brooklyn Board 12
91,13.0,,Info@bk13@cb.nyc.gov,11224.0,91,Brooklyn Board,47.0,,,,12.0,Brooklyn Board 13
92,14.0,,Info@cb14brooklyn.com,11239.0,92,Brooklyn Board,45.0,,,,13.0,Brooklyn Board 14
93,15.0,,bklcb15@verizon.net,11235.0,93,Brooklyn Board,48.0,,,,14.0,Brooklyn Board 15
94,16.0,,bk16@cb.nyc.gov,11212.0,94,Brooklyn Board,41.0,,,,15.0,Brooklyn Board 16
95,17.0,,bk17@cb.nyc.gov,11210.0,95,Brooklyn Board,45.0,,,,16.0,Brooklyn Board 17
96,18.0,,bkbrd18@optonline.net,11234.0,96,Brooklyn Board,46.0,,,,17.0,Brooklyn Board 18
97,1.0,['40'],brxcb1@optonline.net,10455.0,97,Bronx Board,,,,,0.0,Bronx Board 1
98,2.0,['41'],brxcb2@optonline.net,10459.0,98,Bronx Board,,,,,1.0,Bronx Board 2
99,3.0,['42'],Brxcomm3@optonline.net,10456.0,99,Bronx Board,,,,,2.0,Bronx Board 3
100,4.0,['44'],bx04@cb.nyc.gov,10457.0,100,Bronx Board,,,,,3.0,Bronx Board 4
101,5.0,['46'],brxcb5@optonline.net,10453.0,101,Bronx Board,,,,,4.0,Bronx Board 5
102,6.0,['48'],bronxcb6@bronxcb6.org,10457.0,102,Bronx Board,,,,,5.0,Bronx Board 6
103,7.0,['52'],ibravo@cb.nyc.gov,10458.0,103,Bronx Board,,,,,6.0,Bronx Board 7
104,8.0,['50'],bx08@cb.nyc.gov,10471.0,104,Bronx Board,,,,,7.0,Bronx Board 8
105,9.0,['43'],bxbrd09@optonline.net,10473.0,105,Bronx Board,,,,,8.0,Bronx Board 9
106,10.0,['45'],bx10@cb.nyc.gov,10461.0,106,Bronx Board,,,,,9.0,Bronx Board 10
107,11.0,['49'],,10462.0,107,Bronx Board,,,,,10.0,Bronx Board 11
108,12.0,['47'],gtorres@cb.nyc.gov,10466.0,108,Bronx Board,,,,,11.0,Bronx Board 12
109,1.0,['120'],sicb1@si.rr.com,10305.0,109,Staten Island Board,,,,,0.0,Staten Island Board 1
110,2.0,['122'],dderrico@cb.nyc.gov,10314.0,110,Staten Island Board,,,,,1.0,Staten Island Board 2
111,3.0,['123'],sicb3@cb.nyc.gov,10309.0,111,Staten Island Board,,,,,2.0,Staten Island Board 3
112,,,,,112,,,,,,,People of NYC
113,,,,,113,,,,,,,Borough Presidents
114,,,,,114,,,,,,,Borough Boards
115,,,,,115,,,,,,,Comptroller
116,,,,,116,,,,,,,Community Boards
117,,,,,117,,,,,,,Financial Information Services Agency
118,,,,,118,,,,,,,Office of Payroll Administration
119,,,,,119,,,,,,,Procurement Policy Board
120,,,,,120,,,,,,,Mayor
121,,,,,121,,,,,,,Public Advocate
122,,,,,122,,,,,,,City Council
123,,,,,123,,,,,,,Bronx Members
124,,,,,124,,,,,,,Manhattan Members
125,,,,,125,,,,,,,Brooklyn Members
126,,,,,126,,,,,,,Queens Members
127,,,,,127,,,,,,,Staten Island Members
128,,,,,128,,,,,,,City Clerk
129,,,,,129,,,,,,,Clerks
130,,,,,130,,,,,,,Clerk of the Counsel
131,,,,,131,,,,,,,District Attorneys
132,,,,,132,,,,,,,Office of Special Narcotics
133,,,,,133,,,,,,,Independent Budget Office
